"Mortality rate, under-five (per 1,000 live births)"
"Dimension: Health"
"SDG 3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births"
"Definition: Probability of dying between birth and exactly age 5, expressed per 1,000 live births."
"Source: UN Inter-agency Group for Child Mortality Estimation (2019). Child mortality estimates. www.childmortality.org. Accessed 26 August 2020."
""
"188"," Central African Republic","179.6","","177.0","","171.8","","164.8","","150.0","","145.9","","141.8","","138.0","","133.6","","129.1","","123.9","","119.8","","116.5",""
"187"," Chad","212.2","","199.7","","185.9","","169.0","","149.7","","145.6","","141.7","","137.9","","134.1","","130.5","","126.6","","122.7","","119.0",""
"43"," Chile","19.1","","13.1","","10.9","","9.1","","8.7","","8.5","","8.4","","8.3","","8.1","","7.9","","7.7","","7.4","","7.2",""
"85"," China","53.7","","47.4","","36.8","","24.0","","15.8","","14.6","","13.5","","12.5","","11.6","","10.7","","9.9","","9.2","","8.6",""
"83"," Colombia","35.2","","29.7","","25.0","","21.5","","18.5","","17.9","","17.3","","16.8","","16.2","","15.7","","15.2","","14.7","","14.2",""
"156"," Comoros","125.3","","108.1","","101.9","","99.3","","87.1","","84.9","","82.3","","79.5","","77.1","","74.9","","72.3","","69.9","","67.5",""
"149"," Congo","90.2","","104.6","","114.3","","86.1","","62.5","","60.7","","59.2","","57.9","","56.4","","54.9","","53.3","","51.6","","50.1",""
"175"," Congo (Democratic Republic of the)","185.8","","176.1","","160.8","","137.8","","115.3","","111.4","","107.5","","104.2","","100.7","","97.4","","94.0","","91.1","","88.1",""
"62"," Costa Rica","16.7","","14.8","","13.0","","10.5","","10.1","","9.9","","9.7","","9.5","","9.2","","9.1","","8.9","","8.9","","8.8",""
"43"," Croatia","12.8","","10.0","","8.3","","6.7","","5.5","","5.3","","5.2","","5.1","","5.0","","4.9","","4.8","","4.7","","4.7",""
"70"," Cuba","13.4","","10.6","","8.6","","7.2","","6.1","","6.0","","5.8","","5.7","","5.5","","5.4","","5.2","","5.1","","5.0",""
"33"," Cyprus","11.1","","9.0","","6.6","","4.9","","3.6","","3.4","","3.2","","3.0","","2.9","","2.7","","2.6","","2.5","","2.4",""
"27"," Czechia","12.2","","8.5","","5.5","","4.4","","3.4","","3.3","","3.2","","3.1","","3.1","","3.1","","3.2","","3.3","","3.4",""
"162"," Côte d'Ivoire","154.6","","154.8","","144.8","","127.1","","107.2","","103.7","","100.1","","96.7","","93.3","","90.0","","86.8","","83.6","","80.9",""
"10"," Denmark","8.9","","6.5","","5.5","","4.8","","4.1","","4.1","","4.1","","4.1","","4.2","","4.2","","4.3","","4.3","","4.2",""
"166"," Djibouti","118.3","","110.0","","101.3","","89.0","","76.4","","74.1","","71.8","","69.6","","67.4","","65.3","","63.2","","61.2","","59.3",""
"94"," Dominica","16.2","","15.8","","14.8","","15.6","","21.2","","23.0","","25.0","","27.4","","29.8","","32.1","","33.9","","35.0","","35.7",""
